id,listing_url,name,bedrooms,beds,bathrooms,accommodates,price,room_type,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_id,host_name,host_since,current_host_listings,total_host_listings_count,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
33166216,https://www.airbnb.com/rooms/33166216,Rental unit in Asheville , 1 bedroom , 2 beds , 1 bath,4,143,Entire home/apt,4.92,4.97,4.94,4.96,4.94,4.88,4.92,167186184,Towns,1/11/2018,120,120,2,163,9/2/2023,4.11,1,335,48
34900080,https://www.airbnb.com/rooms/34900080,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,135,Entire home/apt,4.92,5,4.97,5,4.95,4.95,4.92,167186184,Towns,1/11/2018,120,120,2,37,9/10/2023,3.26,1,305,37
35373849,https://www.airbnb.com/rooms/35373849,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,185,Entire home/apt,4.93,4.92,4.96,4.94,4.94,4.97,4.93,167186184,Towns,1/11/2018,120,120,3,262,8/28/2023,2.94,2,53,40
35623115,https://www.airbnb.com/rooms/35623115,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,116,Entire home/apt,4.93,4.95,4.95,4.99,4.98,4.94,4.93,167186184,Towns,1/11/2018,120,120,2,197,9/10/2023,2.67,1,147,49
36213020,https://www.airbnb.com/rooms/36213020,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,145,Entire home/apt,4.93,4.98,4.99,4.97,4.97,4.97,4.93,167186184,Towns,1/11/2018,120,120,1,384,9/10/2023,5.78,1,144,75
37611029,https://www.airbnb.com/rooms/37611029,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,178,Entire home/apt,4.93,4.92,4.93,4.99,4.97,4.92,4.93,167186184,Towns,1/11/2018,120,120,2,131,9/5/2023,2.74,1,151,29
37856650,https://www.airbnb.com/rooms/37856650,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,132,Entire home/apt,4.93,4.95,5,4.98,4.95,4.94,4.93,167186184,Towns,1/11/2018,120,120,1,88,9/2/2023,2.44,1,155,23
37892971,https://www.airbnb.com/rooms/37892971,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,274,Entire home/apt,4.93,4.93,4.86,5,4.95,5,4.93,167186184,Towns,1/11/2018,120,120,2,42,10/3/2022,1.18,1,0,2
37997584,https://www.airbnb.com/rooms/37997584,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,241,Entire home/apt,4.93,4.99,4.99,4.99,4.99,4.96,4.93,167186184,Towns,1/11/2018,120,120,2,134,9/4/2023,3.95,1,40,34
38097291,https://www.airbnb.com/rooms/38097291,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,160,Entire home/apt,4.93,4.98,4.92,4.99,4.99,4.92,4.93,167186184,Towns,1/11/2018,120,120,1,336,9/11/2023,10.25,1,304,107
38670161,https://www.airbnb.com/rooms/38670161,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,335,Entire home/apt,4.93,4.99,4.97,4.99,4.96,4.96,4.93,167186184,Towns,1/11/2018,120,120,1,71,8/27/2023,3.29,1,220,47
38710999,https://www.airbnb.com/rooms/38710999,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,142,Entire home/apt,4.93,5,4.86,5,4.86,4.86,4.93,167186184,Towns,1/11/2018,120,120,2,14,12/31/2022,0.77,43,164,7
39036474,https://www.airbnb.com/rooms/39036474,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,144,Entire home/apt,4.93,4.98,4.95,4.98,4.98,4.93,4.93,167186184,Towns,1/11/2018,120,120,2,87,9/10/2023,6.61,1,16,82
39444836,https://www.airbnb.com/rooms/39444836,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,167,Entire home/apt,4.94,4.95,4.96,5,4.98,4.95,4.94,167186184,Towns,1/11/2018,120,120,2,209,9/3/2023,1.88,1,344,20
43731925,https://www.airbnb.com/rooms/43731925,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,124,Entire home/apt,4.95,4.99,5,4.99,4.98,4.88,4.95,167186184,Towns,1/11/2018,120,120,2,113,7/30/2023,1.31,1,0,11
43747993,https://www.airbnb.com/rooms/43747993,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,249,Entire home/apt,4.95,4.95,4.8,4.98,4.96,4.87,4.95,167186184,Towns,1/11/2018,120,120,1,412,12/18/2022,4.7,4,0,9
